proposition,dominant_topic,topic_name,clean
Il faut éviter le gaspillage acheter juste ce que l'on a besoin ne pas faire de grandes courses et jeter ,5,Gaspillage alimentaire,éviter gaspillage acheter besoin grand course jeter
Il faut interdire la vente de légumes dont les semences sont infertiles,6,Emballage alimentaire,interdire vente légume semence infertile
Il faut que les producteurs et vendeurs arrêtent le suremballage,7,Circuit court,producteur vendeur arrêter suremballage
Il faut instaurer obligatoirement les sacs en papier dans les rayons légumes et fruits ,6,Emballage alimentaire,instaurer obligatoirement sac papier rayon légume fruit
Il faut généraliser les réductions sur les produit près de la date de péremption !,5,Gaspillage alimentaire,généraliser réduction date péremption
Il faut augmenter les marges des producteurs bio,7,Circuit court,augmenter marge producteur bio
"Il faut en hiver, manger des légumes en conserve qui apportent aussi des vitamines ou, mieux encore, des légumes surgelés ",4,Habitude de consommation alimentaire,hiver manger légume conserve apporter vitamine mieux légume surgeler
Il faut interdire aux industriels l'utilisation des plastiques sous toutes leurs formes,6,Emballage alimentaire,interdire industriel utilisation plastique forme
Il faut cuisiner soi même des produits bruts au lieu d'acheter des plats préparés industriellement,4,Habitude de consommation alimentaire,cuisiner brut lieu acheter plat préparer industriellement
"Il faut des indications sur l'emballage ou en rayon, concernant le respect du bien-être animal (oeufs, lait, viande, poissons)",0,Consommation Viande,indication emballage rayon concerner respect bienêtre animal oeuf viande poisson
Il faut que les prix soient accessibles à  tout le monde (non pas des hausses de 300 % etc....),7,Circuit court,prix accessible monde hausse
Il faut organiser des rencontres entre agriculteurs bio et écoliers afin de partager les gestes et attitudes du quotidien,3,Cultiver soi-même,organiser rencontre agriculteur bio écolier partager geste attitude quotidien
Il faut donner des cours de cuisine à l'école pour donner le goût de cuisiner. Et montrer ainsi que ce n'est pas qu'une affaire de femmes,8,Alimentation des enfants,donner cours cuisine école donner goût cuisiner montrer affaire femme
Il faut proposer plus de bio et de menus végétariens dans les collectivités,8,Alimentation des enfants,proposer bio menu végétarien collectivité
"Il faut accepter de consacrer un peu de temps et d'argent pour faire des achats alimentaires responsables (bon circuit, prix équitable)",7,Circuit court,accepter consacrer temps arger achat alimentaire responsable circuit prix équitable
Il faut encourager la diminution de la consommation de viande,0,Consommation Viande,encourager diminution consommation viande
Il faut obliger les industries alimentaires à publier les nutri scores sur les aliments,2,Produits transformés,obliger industrie alimentaire publier nutri score aliment
Il faut que des professionnels informent la population notamment dans les écoles et clubs de sport. Aux municipalités d'organiser ,8,Alimentation des enfants,professionnel informer population notamment école club sport municipalité organiser
Il faut que nous parents repartions sur de bonnes bases pour les inculquer à nos enfants,8,Alimentation des enfants,parent repartir base inculquer enfant
"Il faut que le gouvernement fasse une publicité sur le ""TROP"" manger. Nous consommons beaucoup trop par rapport à nos besoins journaliers",4,Habitude de consommation alimentaire,gouvernement publicité manger consommer rapport besoin journalier
"Il faut développer le ""Fait Maison"" au rayon traiteur",7,Circuit court,développer maison rayon traiteur
Il faut modifier la réglementation pour améliorer les compositions et les qualités nutritionnelles des produits alimentaires,2,Produits transformés,modifier réglementation améliorer composition qualité nutritionnel alimentaire
Il faut proposer une éducation au goût dès la maternelle,8,Alimentation des enfants,proposer éducation goût maternelle
Il faut plus de clarté dans le descriptif des produits (hors code et autres illisibles) et la véritable provenance,2,Produits transformés,clarter descriptif code illisible véritable provenance
Il faut dispenser des cours de jardinage aux enfants à l'école,8,Alimentation des enfants,dispenser cours jardinage enfant école
Il faut aussi s'impliquer soi même (pas que les autres) : suis-je prêt à passer plus de temps à cuisiner tout simplement ?,4,Habitude de consommation alimentaire,impliquer suisje prêt passer temps cuisiner simplement
Il faut  que les produits proposés en magasin soient de bonne qualité,7,Circuit court,proposer magasin qualité
Il faut manger sainement et privilégier les fruits et légumes. Prendre le temps de cuisiner et acheter bio et sain (selon son budget),4,Habitude de consommation alimentaire,manger sainement privilégier fruit légume prendre temps cuisiner acheter bio sain budget
Il faut vendre les produit bio de la région ou de la France,7,Circuit court,vendre bio région france
Il faut que tous les emballages soient recyclables,6,Emballage alimentaire,emballage recyclable
"Il faut des prix plus accessibles pour tous, pour pouvoir manger plus de fruits et de légumes bio",7,Circuit court,prix accessible manger fruit légume bio
Il faut installer des potagers sur tous les toits plats pour végétaliser et permettre d’avoir un potager ou un producteur hyperlocal ,3,Cultiver soi-même,installer potager toit plat végétaliser permettre davoir potager producteur hyperlocal
Il faut éduquer et expliquer,8,Alimentation des enfants,éduquer expliquer
Il faut soutenir et développer les circuits comme La Ruche Qui Dit Oui ! etc.,7,Circuit court,soutenir développer circuit ruche oui
Il faut devenir locavore et ne consommer que les produits de saison à moins de 150 km de son domicile,7,Circuit court,devenir locavor consommer saison kilomètre domicile
"Il faut supprimer les sachets plastiques, couverts plastiques et plastiques nomades",6,Emballage alimentaire,supprimer sachet plastique couvert plastique plastique nomade
"Il faut respecter les produits bio jusqu'à leur commercialisation, et ne pas ajouter de produits chimiques pour leur conservation.",1,Agriculture biologique,respecter bio commercialisation ajouter chimique conservation
"Il faut éduquer en masse pour que chacun puisse redevenir producteur et acteur de son manger, à son échelle et dans son habitat proche",7,Circuit court,éduquer masse redevenir producteur acteur manger échelle habitat
Il faut promouvoir la permaculture et limiter la taille des exploitations agricoles.,1,Agriculture biologique,promouvoir permaculture limiter taille exploitation agricole
Il faut obliger l'industrie alimentaire à apposer des codes couleurs sur tous leurs produits,2,Produits transformés,obliger industrie alimentaire apposer code couleur
"Il faut remplacer l’industrie agroalimentaire (surplus d’engrais,de glutamate et animaux entassés) par une agriculture éco-responsable",2,Produits transformés,remplacer lindustrie agroalimentaire surplus dengraisde glutamat animal entasser agriculture écoresponsabl
Il faut afficher pour chaque fruit et légume en vente la nature des traitement reçus avant et après récolte,4,Habitude de consommation alimentaire,afficher fruit légume vente nature traitement recevoir récolte
"Il faut éviter les apports en sucre, en sel, en huile de palme non nécessaires",2,Produits transformés,éviter apport sucre sel huile palme nécessaire
Il faut inciter les personnes à cuisiner plutôt qu'à acheter des plats industriels,4,Habitude de consommation alimentaire,inciter cuisiner acheter plat industriel
"Il faut inciter les gens à faire leur propre culture potagère, que ce soit individuellement ou en collectivité",3,Cultiver soi-même,inciter propre culture potager individuellement collectivité
Il faut développer les jardins sur les toits des villes,3,Cultiver soi-même,développer jardin toit ville
"Il faut déjà prendre conscience que la viande et les laitages sont mauvais pour la santé, contrairement à ce qu'on veut nous faire croire",0,Consommation Viande,déjà prendre conscience viande laitage mauver santé contrairement vouloir croire
Il faut prendre du temps pour cuisiner avec nos enfants. Plaisir de faire ensemble et plaisir du partage lors du repas,4,Habitude de consommation alimentaire,prendre temps cuisiner enfant plaisir ensemble plaisir partage lors repas
"Il faut cultiver de manière raisonnée : cultures associées agro foresterie, diversité biologique",1,Agriculture biologique,cultiver manière raisonner culture associer agro foresterie diversité biologique
Il faut faire plus de jardins partagés,3,Cultiver soi-même,jardin partager
Il faut donner des cours de jardinage et de cuisine dans les écoles,8,Alimentation des enfants,donner cours jardinage cuisine école
"Il faut acheter des produits frais aux petits producteurs, maraîchers... Faire son marché est le meilleur moyen d’apprendre à cuisiner ",7,Circuit court,acheter frais al petit producteur maraîcher marché meilleur moyen dapprendre cuisiner
Il faut supprimer les pesticides de l'agriculture en Europe,1,Agriculture biologique,supprimer pesticide agriculture europe
Il faut proposer pour chaque produit animal son équivalent vegan,0,Consommation Viande,proposer animal équivalent vegan
"Il faut éviter que la terre se réchauffe, donc consommer moins de viande bovine, de cochon, de poulet et de poissons",0,Consommation Viande,éviter terre réchauffe consommer viande bovin cochon poulet poisson
"Il faut préciser le nombre de calories pour un menu, une boisson etc. sur la carte d'un restaurant (fast food ou autre)",4,Habitude de consommation alimentaire,préciser nombre calorie menu boisson carte restaurant fast food
Il faut généraliser l'agriculture bio pour que les prix baissent. ,7,Circuit court,généraliser agriculture bio prix baissent
Il faut développer les activités « potager » dans les écoles,3,Cultiver soi-même,développer activité potager école
Il faut éduquer les enfants dès l’école  primaire sur le « bien manger »!,8,Alimentation des enfants,éduquer enfant lécole primaire manger
Il faut arrêter avec les produits hors-saison venus de l'hémisphère Sud,6,Emballage alimentaire,arrêter horssaison venir hémisphère sud
