word,freq,topic_number,topic_name
animal,208,0,Consommation Viande
viande,179,0,Consommation Viande
manger,113,0,Consommation Viande
consommation,81,0,Consommation Viande
arrêter,80,0,Consommation Viande
élevage,79,0,Consommation Viande
interdire,58,0,Consommation Viande
santé,51,0,Consommation Viande
réduire,46,0,Consommation Viande
abattoir,46,0,Consommation Viande
abattage,38,0,Consommation Viande
protéine,37,0,Consommation Viande
alimentation,36,0,Consommation Viande
poisson,35,0,Consommation Viande
consommer,28,0,Consommation Viande
végétal,27,0,Consommation Viande
intensif,26,0,Consommation Viande
humain,25,0,Consommation Viande
industriel,24,0,Consommation Viande
respecter,23,0,Consommation Viande
condition,23,0,Consommation Viande
consommateur,23,0,Consommation Viande
local,22,0,Consommation Viande
mieux,20,0,Consommation Viande
privilégier,20,0,Consommation Viande
mode,20,0,Consommation Viande
planète,19,0,Consommation Viande
diminuer,19,0,Consommation Viande
informer,18,0,Consommation Viande
nourrir,18,0,Consommation Viande
bio,157,1,Agriculture biologique
pesticide,105,1,Agriculture biologique
agriculture,101,1,Agriculture biologique
agriculteur,90,1,Agriculture biologique
arrêter,89,1,Agriculture biologique
interdire,62,1,Agriculture biologique
français,51,1,Agriculture biologique
animal,46,1,Agriculture biologique
local,41,1,Agriculture biologique
produire,41,1,Agriculture biologique
chimique,41,1,Agriculture biologique
production,39,1,Agriculture biologique
agricole,38,1,Agriculture biologique
aider,38,1,Agriculture biologique
france,37,1,Agriculture biologique
favoriser,36,1,Agriculture biologique
pays,34,1,Agriculture biologique
producteur,33,1,Agriculture biologique
santé,32,1,Agriculture biologique
culture,31,1,Agriculture biologique
importation,29,1,Agriculture biologique
intensif,29,1,Agriculture biologique
qualité,29,1,Agriculture biologique
taxer,29,1,Agriculture biologique
terre,28,1,Agriculture biologique
importer,28,1,Agriculture biologique
européen,26,1,Agriculture biologique
respecter,24,1,Agriculture biologique
subvention,24,1,Agriculture biologique
privilégier,23,1,Agriculture biologique
sucre,98,2,Produits transformés
additif,93,2,Produits transformés
interdire,73,2,Produits transformés
aliment,71,2,Produits transformés
transformer,60,2,Produits transformés
industriel,52,2,Produits transformés
santé,48,2,Produits transformés
supprimer,47,2,Produits transformés
alimentaire,46,2,Produits transformés
ingrédient,45,2,Produits transformés
indiquer,41,2,Produits transformés
arrêter,40,2,Produits transformés
pesticide,40,2,Produits transformés
sel,40,2,Produits transformés
huile,40,2,Produits transformés
contenir,39,2,Produits transformés
palme,36,2,Produits transformés
mettre,35,2,Produits transformés
nocif,30,2,Produits transformés
origine,29,2,Produits transformés
qualité,28,2,Produits transformés
bio,27,2,Produits transformés
clairement,27,2,Produits transformés
composition,26,2,Produits transformés
colorant,26,2,Produits transformés
nutriscore,26,2,Produits transformés
consommateur,25,2,Produits transformés
gras,25,2,Produits transformés
provenance,25,2,Produits transformés
chimique,25,2,Produits transformés
jardin,70,3,Cultiver soi-même
potager,53,3,Cultiver soi-même
ville,37,3,Cultiver soi-même
créer,32,3,Cultiver soi-même
favoriser,31,3,Cultiver soi-même
partager,31,3,Cultiver soi-même
développer,30,3,Cultiver soi-même
légume,30,3,Cultiver soi-même
bio,25,3,Cultiver soi-même
cultiver,25,3,Cultiver soi-même
petit,23,3,Cultiver soi-même
espace,23,3,Cultiver soi-même
fruit,19,3,Cultiver soi-même
terre,19,3,Cultiver soi-même
arbre,17,3,Cultiver soi-même
local,16,3,Cultiver soi-même
cantine,16,3,Cultiver soi-même
enfant,15,3,Cultiver soi-même
culture,14,3,Cultiver soi-même
permaculture,14,3,Cultiver soi-même
mettre,14,3,Cultiver soi-même
urbain,14,3,Cultiver soi-même
école,13,3,Cultiver soi-même
agricole,13,3,Cultiver soi-même
commune,13,3,Cultiver soi-même
fruitier,13,3,Cultiver soi-même
manger,12,3,Cultiver soi-même
utiliser,12,3,Cultiver soi-même
donner,12,3,Cultiver soi-même
propre,12,3,Cultiver soi-même
manger,276,4,Habitude de consommation alimentaire
légume,178,4,Habitude de consommation alimentaire
cuisiner,165,4,Habitude de consommation alimentaire
fruit,137,4,Habitude de consommation alimentaire
saison,123,4,Habitude de consommation alimentaire
viande,93,4,Habitude de consommation alimentaire
plat,87,4,Habitude de consommation alimentaire
acheter,80,4,Habitude de consommation alimentaire
local,78,4,Habitude de consommation alimentaire
apprendre,75,4,Habitude de consommation alimentaire
