dominant_topic,topic_name,nb_sents,def
0,Consommation Viande,585,"Regroupe l'ensemble des propostitions traitant de la consommation de la viande ou de sa production ( alternatives à la viande, élevage, condition animale, etc)."
1,Agriculture biologique,618,"Regroupe l'ensemble des propostitions traitant de l'agriculture biologique, de son impact sanitaire et ecologique."
2,Nourriture industrielle,631,"Regroupe l'ensemble des propostitions traitant des produits transformés et de leur composition ( plats préparés, les additfs, nutriscore, sucre, etc )."
3,Cultiver soi-même,277,Regroupe les proposition citoyenne visant à developper une sensibilité des cultures agricoles locales et des potagers.
4,Habitude de consommation alimentaire,761,"On retrouve ici l'ensemble des sujets portant sur les bonnes pratiques alimentaire (consommer local, de saison, dans les bonnes quantités, etc)."
5,Gaspillage alimentaire,253,"Regroupe l'ensemble des propositions traitants des denrées périssables, de leur usages et de leur redistribution."
6,Emballage alimentaire,332,"Regroupe les propositions autours des emballages, du plastique et du recyclage."
7,Circuit court,1395,"Regroupe les sujets traitants des produits issus de commerce et producteurs locaux, des producteurs bios."
8,Alimentation des enfants,817,"Regroupe les sujets traitant de l'alimentation des enfants, principalement à l'école et de l'habitude à manger de bons produits dès le plus jeune âge."
9,Rémunération des agriculteurs,287,Regroupe l'ensemble des proposition visant à favoriser économiquement les produits sains et d'origine française
